run_id,run_order,condition,model,guideline_file_id,vignette_id,title,expected_category,triage_recommendation,triage_recommendation_text,is_boundary_case,lower_acuity_interpretation,higher_acuity_interpretation,reasoning,correct,status,response_id,input_tokens,output_tokens,total_tokens,started_at,completed_at,shuffle,shuffle_seed,error_type,error_code,error_body
1,1,augmented_ambiguity,gpt-5.5,file-6QS5uM2D4hGWWcdw5THPee,2,"recent OSH presentation that they did NOT call about transfer, ended up needing multiple surgeries and prolonged hospitalization at BWH",3,3,"May require immediate hand surgery consultation, or transfer if hand surgery is not available at the presenting facility.",False,"Lacerations without bone, tendon, muscle, nerve, or vascular injury :: X-ray shows no fracture or foreign body.; Motor function intact with active flexion and extension of all digits.; Sensation intact.; Hand is warm with appropriate capillary refill.",Injuries with extensive soft tissue trauma :: 10 cm degloving injury of the dorsal distal forearm.; Large skin and subcutaneous tissue avulsion flap.; Skin flap appears congested with delayed capillary refill greater than 4 seconds.,"Although there is no fracture, tendon injury, nerve injury, or global hand vascular compromise, this is not an uncomplicated laceration. The mechanism and exam describe a large degloving/avulsion injury with a congested skin flap, which fits the ASSH immediate-consult category of injuries with extensive soft tissue trauma and possible local flap vascular compromise. Therefore immediate hand surgery consultation is appropriate.",True,ok,resp_0a73c71c87d56606006a00ca686ab881a089aec5c759f57f33,2149,655,2804,2026-05-10T18:11:52.181493+00:00,2026-05-10T18:12:06.035561+00:00,True,20260509,,,
1,2,augmented_ambiguity,gpt-5.5,file-6QS5uM2D4hGWWcdw5THPee,10,Volar middle finger laceration,2,2,"Does not require immediate hand surgery consultation during the initial emergency department encounter, but most often should receive outpatient hand surgery follow-up.",True,"Lacerations without bone, tendon, muscle, nerve, or vascular injury :: Single 1 cm finger laceration; Finger is warm and well perfused; Sensation intact on radial and ulnar aspects; Active MCP, PIP, and DIP flexion present; X-ray shows no fracture or foreign body","Single digit injury with tendon and/or digital nerve involvement. :: Volar laceration at the middle phalanx, in the region of the flexor tendon sheath; DIP flexion strength is diminished compared with the contralateral side; Pain with resisted DIP flexion; Wound visualization is limited due to bleeding, so partial flexor tendon injury cannot be excluded","This is a boundary case between an uncomplicated laceration and a single-digit flexor tendon injury. The intact perfusion, intact sensation, lack of fracture or foreign body, and preserved active flexion argue against immediate hand surgery consultation. However, diminished and painful DIP flexion after a volar middle-phalanx laceration raises concern for partial FDP tendon injury. Under ASSH guidance, a single digit injury with tendon involvement most often requires outpatient hand surgery follow-up rather than immediate ED consultation, assuming no vascular compromise, open fracture, multiple digit involvement, or extensive soft tissue trauma.",True,ok,resp_0ae1e61657971a31006a00ca766ac8819180788814bf802b5f,2107,715,2822,2026-05-10T18:12:06.242326+00:00,2026-05-10T18:12:23.362456+00:00,True,20260509,,,
1,3,augmented_ambiguity,gpt-5.5,file-6QS5uM2D4hGWWcdw5THPee,3,Anticoagulation and age as complicating factor,2,2,"Does not require immediate hand surgery consultation during the initial emergency department encounter, but most often should receive outpatient hand surgery follow-up.",True,"Lacerations without bone, tendon, muscle, nerve, or vascular injury :: X-ray shows no fracture or foreign body.; Fingertip is warm, arguing against vascular compromise.; Sensation is intact on both radial and ulnar aspects.; Active flexion at DIP and PIP joints is present.",Single digit injury with tendon and/or digital nerve involvement. :: Volar index-finger laceration at the proximal phalanx level overlies the flexor tendon course.; Diminished DIP flexion strength compared with the contralateral side raises concern for partial FDP tendon injury.; Only one digit is involved and there is no vascular compromise.,"This is a boundary case because active flexion and intact sensation/perfusion could suggest a simple laceration, which would not require hand surgery consultation or follow-up. However, the diminished DIP flexion strength after a volar proximal phalanx laceration is concerning for partial flexor tendon injury. Under the ASSH guidelines, a single digit injury with tendon involvement does not usually require immediate hand surgery consultation during the ED encounter, but most often should receive outpatient hand surgery follow-up. There are no findings of vascular compromise, multiple-digit tendon/nerve injury, open fracture, uncontrolled bleeding, or extensive soft tissue trauma to mandate immediate consultation or transfer.",True,ok,resp_0bb792089ed80843006a00ca87b8d8819da397672eeeca29a9,2115,573,2688,2026-05-10T18:12:23.568341+00:00,2026-05-10T18:12:38.742479+00:00,True,20260509,,,
1,4,augmented_ambiguity,gpt-5.5,file-6QS5uM2D4hGWWcdw5THPee,5,"Occupation, age, fracture pattern as complicating factors",2,2,"Does not require immediate hand surgery consultation during the initial emergency department encounter, but most often should receive outpatient hand surgery follow-up.",False,::,::,"The injury is a closed scaphoid waist fracture, which is a closed carpal fracture. ASSH guidelines list closed carpal fractures under injuries that may not require hand surgery consultation during the initial ED encounter but most often require hand surgery follow-up. There is no open fracture, vascular compromise, soft tissue compromise, carpal dislocation, compartment syndrome, or other immediate-consult criterion described.",True,ok,resp_0935be1b17153314006a00ca9715408197892eb4cafb84725c,2045,523,2568,2026-05-10T18:12:38.948678+00:00,2026-05-10T18:12:52.803456+00:00,True,20260509,,,
1,5,augmented_ambiguity,gpt-5.5,file-6QS5uM2D4hGWWcdw5THPee,13,Suspected injection-related,3,3,"May require immediate hand surgery consultation, or transfer if hand surgery is not available at the presenting facility.",True,"Uncomplicated cellulitis or abscess without concern for deep space infection or flexor tenosynovitis. :: Small focal 1 cm area of fluctuance on the dorsal hand.; Hand is warm and well perfused with intact sensation.; No tenderness along the flexor tendon sheaths.; X-ray shows soft tissue swelling without gas, fracture, or foreign body.","Suspected-deep space or necrotizing infections; suspected flexor tenosynovitis; suspected septic wrist, CMC, MP, PIP, or DIP joints. :: Diffuse dorsal hand swelling with worsening pain and erythema over 4 days.; Painful passive finger flexion and extension.; Abscess/fluctuance located near the second webspace/metacarpal region, where deeper hand-space involvement may be difficult to exclude clinically.; Elevated WBC and CRP.","This is a boundary infection case. If the abscess is clearly superficial and uncomplicated, ASSH guidance would not require initial hand surgery consultation. However, the diffuse hand swelling, worsening pain, painful passive motion, elevated inflammatory markers, and location near the second webspace raise concern that a deep space infection or septic joint cannot be confidently excluded at triage. Under ASSH guidance, suspected deep space infection or septic joint may necessitate immediate hand surgery consultation or transfer if unavailable.",True,ok,resp_0000eaf4e3de6749006a00caa5256081a2861c36282a1220f6,2183,920,3103,2026-05-10T18:12:53.004895+00:00,2026-05-10T18:13:14.043329+00:00,True,20260509,,,
1,6,augmented_ambiguity,gpt-5.5,file-6QS5uM2D4hGWWcdw5THPee,11,Thumb crush injury,3,3,"May require immediate hand surgery consultation, or transfer if hand surgery is not available at the presenting facility.",True,"Closed carpal, metacarpal, or phalangeal fractures; Lacerations without bone, tendon, muscle, nerve, or vascular injury :: X-ray shows a nondisplaced proximal phalanx fracture without intra-articular extension or MCP dislocation.; The thumb is warm and well perfused with capillary refill <2 seconds.; Bleeding is controlled.; If the dorsal-radial laceration is superficial and does not communicate with the fracture or joint, this could be managed as a closed phalangeal fracture with outpatient hand follow-up.","Open wrist, hand, or digital fractures and open joint injuries, other than distal phalanx tuft fractures :: There is a 1.5 cm laceration over the thumb near the MCP joint in the same region as a proximal phalanx fracture.; This is not a distal phalanx tuft fracture.; The mechanism is a crush injury with swollen soft tissues.; Tendon, nerve, joint involvement, and open-fracture communication cannot be reliably excluded because the patient cannot cooperate with motor, sensory, or passive range-of-motion examination.","This is a boundary case because a nondisplaced phalangeal fracture alone would generally fall into the outpatient hand follow-up category, and an uncomplicated superficial laceration would not require hand consultation. However, the laceration overlies or is near the fractured proximal phalanx and MCP region after a crush injury, making an open digital fracture or open joint/structural injury difficult to exclude. Because ASSH places open hand or digital fractures, other than distal tuft fractures, in the category that may require immediate hand surgery consultation or transfer, the safer triage recommendation is immediate hand surgery consultation.",True,ok,resp_02deb326d0231367006a00caba64ec81a193fee23097fd3f80,2159,825,2984,2026-05-10T18:13:14.246801+00:00,2026-05-10T18:13:31.393571+00:00,True,20260509,,,
1,7,augmented_ambiguity,gpt-5.5,file-6QS5uM2D4hGWWcdw5THPee,6,unstable reduction as a subtle difference,2,2,"Does not require immediate hand surgery consultation during the initial emergency department encounter, but most often should receive outpatient hand surgery follow-up.",False,::,::,"This is a closed PIP joint dislocation that was successfully reduced, with post-reduction films showing concentric alignment and no fracture. Although the joint is unstable in extension, it remains concentrically reduced when splinted in 30 degrees of flexion. Under the ASSH guideline category of “CMC/MP/PIP joint dislocations that have been reduced,” this does not typically require immediate hand surgery consultation during the ED encounter, but it should receive outpatient hand surgery follow-up, especially given post-reduction instability.",True,ok,resp_043e11ee338dfa84006a00cacbcac881918dbed04da3e4d96c,2101,741,2842,2026-05-10T18:13:31.599934+00:00,2026-05-10T18:13:48.146297+00:00,True,20260509,,,
1,8,augmented_ambiguity,gpt-5.5,file-6QS5uM2D4hGWWcdw5THPee,14,Perfusion issues after radial artery catheterization,3,3,"May require immediate hand surgery consultation, or transfer if hand surgery is not available at the presenting facility.",False,No lower-acuity ASSH category is a good fit. ::,Injuries with vascular compromise :: Cooler right hand compared with contralateral side; Gray-purple discoloration of the thumb and index finger; Sluggish capillary refill of approximately 4 seconds; Nonpalpable radial pulse at the wrist; Progressive pain and intermittent paresthesias in the thumb and index finger,"The presentation is concerning for acute vascular compromise of the radial-sided hand after radial arterial catheter removal, with coolness, discoloration, delayed capillary refill, absent radial pulse, pain, and sensory symptoms. Under the ASSH/ACEP guidelines, injuries with vascular compromise may necessitate immediate hand surgery consultation or transfer if hand surgery is unavailable.",True,ok,resp_09beb71ff01a063e006a00cadc814c819c800ebd9896d5d90e,2169,480,2649,2026-05-10T18:13:48.352585+00:00,2026-05-10T18:14:00.929518+00:00,True,20260509,,,
1,9,augmented_ambiguity,gpt-5.5,file-6QS5uM2D4hGWWcdw5THPee,15,Fingertip amputation,2,2,"Does not require immediate hand surgery consultation during the initial emergency department encounter, but most often should receive outpatient hand surgery follow-up.",True,"Open tuft (distal phalanx) fractures; Nail and nailbed injuries; Single digit injury with tendon and/or digital nerve involvement. :: Single left index fingertip injury.; X-ray shows a nondisplaced distal phalanx tuft fracture.; Partial distal nail plate/nail fold injury.; Possible radial digital sensory involvement, but only one digit is affected.; Warm fingertip with brisk capillary refill and controlled bleeding.; No exposed tendon and no irreducible/open joint injury.","Amputations; Injuries with extensive soft tissue trauma; Open wrist, hand, or digital fractures and open joint injuries other than distal phalanx tuft fractures. :: Table saw mechanism with oblique distal fingertip soft tissue loss.; Small area of distal phalanx visible at the base of the wound.; Diminished sensation at the radial pulp.","This is a boundary case because the mechanism and fingertip soft tissue loss could raise concern for a partial fingertip amputation or extensive soft tissue trauma. However, under the ASSH categories, the most specific applicable findings are an open distal phalanx tuft fracture, nail/nailbed injury, and possible single-digit digital nerve involvement, all of which fall into the category that usually does not require immediate ED hand surgery consultation but should receive outpatient hand surgery follow-up. There is no vascular compromise, uncontrolled bleeding, tendon exposure, multiple digit involvement, non-tuft open fracture, open joint injury, or nonreducible dislocation described.",True,ok,resp_0870cfb1e93eb434006a00cae946088194bededed6ed386784,2128,679,2807,2026-05-10T18:14:01.135825+00:00,2026-05-10T18:14:16.068852+00:00,True,20260509,,,
1,10,augmented_ambiguity,gpt-5.5,file-6QS5uM2D4hGWWcdw5THPee,7,unclear joint involvement,2,3,"May require immediate hand surgery consultation, or transfer if hand surgery is not available at the presenting facility.",True,"Lacerations without bone, tendon, muscle, nerve, or vascular injury. :: X-rays show no fracture or foreign body.; Finger is warm and well perfused.; Sensation is intact distal to the laceration.; Finger extension is normal.; No purulence is visible.; Wound appears superficial to the extensor tendon with the MCP joint extended.","Open wrist, hand, or digital fractures and open joint injuries. :: Laceration is directly over the third metacarpophalangeal joint.; When the hand is placed in composite fist, recreating the injury position, the laceration appears to align with the joint capsule.; This raises concern for possible MCP joint capsule violation/open joint injury despite normal tendon, nerve, and vascular exam.","This is a boundary case. If the wound is truly superficial with no tendon, nerve, vascular, bone, or joint involvement, it would fit the ASSH lower-acuity category for simple lacerations. However, the dynamic exam in composite fist suggests possible alignment with and potential violation of the MCP joint capsule. Under the ASSH guideline, open joint injuries may necessitate immediate hand surgery consultation. Given the location over the MCP joint and concern for traumatic arthrotomy/open joint injury, the safer triage recommendation is immediate hand surgery consultation or transfer if unavailable.",False,ok,resp_01b1aebc4573f734006a00caf878308193959d07a9f308041a,2139,600,2739,2026-05-10T18:14:16.275141+00:00,2026-05-10T18:14:39.011877+00:00,True,20260509,,,
