benchmark_id,benchmark_type,case_id,vignette_id,title,expected_category,n_withheld_details,n_details_covered,detail_recall,asked_for_missing_information,summary,withheld_detail_scores_json,status,run_id,response_id,input_tokens,output_tokens,total_tokens,started_at,completed_at,error_type,error_body
category_changing_1,category_changing,category_changing_1,1,Worsening dorsal wrist swelling after presumed insect bite,3,1,1,1.0,True,"The model appropriately asked for the key missing imaging information regarding deep abscess and possible deeper/joint involvement, which matches the withheld CT detail.","[{""detail"": ""CT of the left wrist demonstrates a multiloculated rim-enhancing fluid collection over the dorsal wrist, concerning for abscess, with possible extension toward the radiocarpal joint."", ""covered"": true, ""covering_question"": ""Is there fluctuance, purulent drainage, imaging evidence of a deep abscess, tenosynovitis, or infection tracking into deep dorsal hand/wrist spaces?"", ""rationale"": ""This question directly asks about imaging evidence of a deep abscess and infection tracking into deep dorsal hand/wrist spaces, which would reasonably elicit the CT finding of a multiloculated rim-enhancing dorsal wrist abscess. The model also separately asked about septic wrist/joint involvement.""}]",ok,1,resp_006acce52ea5c583006a1d97db755081979bec25733ed281f6,858,479,1337,2026-06-01T14:31:54.156097+00:00,2026-06-01T14:32:04.816660+00:00,,
category_changing_2,category_changing,category_changing_2,2,"recent OSH presentation that they did NOT call about transfer, ended up needing multiple surgeries and prolonged hospitalization at BWH",3,1,1,1.0,True,"The model appropriately asked about avulsion flap viability and perfusion, covering the withheld detail about congestion and delayed capillary refill.","[{""detail"": ""The avulsion flap appears congested, with capillary refill greater than 4 seconds compared with less than 2 seconds in surrounding skin."", ""covered"": true, ""covering_question"": ""Is bleeding controlled, and is the avulsion flap viable with intact perfusion?"", ""rationale"": ""This question directly asks about flap viability and perfusion, which would reasonably elicit findings such as congestion and delayed capillary refill.""}]",ok,1,resp_0958837e096b2269006a1d97c4b67881a3b5dcccdb0dc41ef5,625,260,885,2026-06-01T14:31:32.609332+00:00,2026-06-01T14:31:36.704387+00:00,,
category_changing_3,category_changing,category_changing_3,3,Anticoagulation and age as complicating factor,2,1,1,1.0,True,"The model asked an appropriate tendon-function question that covers the withheld flexor tendon detail, including active joint flexion and resistance testing relevant to detecting partial tendon weakness.","[{""detail"": ""He has intact active flexion at the DIP and PIP joints, but diminished strength at the DIP joint compared to the contralateral side."", ""covered"": true, ""covering_question"": ""Can he actively flex the right index finger at both the DIP joint and PIP joint independently, preferably against resistance, with no flexion deficit?"", ""rationale"": ""This question directly asks about active DIP and PIP flexion and testing against resistance, which would reasonably elicit the finding of intact flexion but diminished DIP strength compared with the other side.""}]",ok,1,resp_0bb3b1a3181e3b54006a1d97b5833c81978e8e2240075ad21a,704,312,1016,2026-06-01T14:31:17.369231+00:00,2026-06-01T14:31:23.025984+00:00,,
category_changing_4,category_changing,category_changing_4,4,Occupation as an influencing factor,2,1,0,0.0,True,"The model asked several key missing triage questions about open fracture, vascular status, sensation/neurovascular integrity, and soft tissue compromise, but it missed rotational deformity, an important factor that could change urgency.","[{""detail"": ""Finger is warm and well perfused, sensation is intact, and there is no rotational deformity or skin compromise."", ""covered"": false, ""covering_question"": """", ""rationale"": ""The model asked about perfusion/capillary refill and vascular compromise, open wounds/skin breaks, and soft tissue compromise. Its 'neurovascularly intact' question could reasonably elicit sensation status. However, it did not ask about rotational deformity or scissoring, so the full withheld detail was not covered.""}]",ok,1,resp_04815ba369c57bc2006a1d97a6e9fc819fac0c2ccaa35e2a9b,614,737,1351,2026-06-01T14:31:02.704679+00:00,2026-06-01T14:31:17.164128+00:00,,
category_changing_5,category_changing,category_changing_5,5,"Occupation, age, fracture pattern as complicating factors",2,1,1,1.0,True,"The model appropriately requested all clinically important missing information contained in the withheld detail, including instability/dislocation, open injury, soft tissue compromise, and neurovascular compromise.","[{""detail"": ""X-rays otherwise show no associated carpal dislocation/perilunate malalignment, open injury, soft tissue compromise, or neurovascular compromise."", ""covered"": true, ""covering_question"": ""Do the X-rays show any associated carpal dislocation or perilunate/lunate instability, rather than an isolated scaphoid waist fracture? / Is the injury closed, with no laceration, puncture wound, or exposed bone communicating with the fracture? / Is there significant soft tissue compromise, severe swelling concerning for compartment syndrome, or neurologic deficit in the hand? / Is there any vascular compromise of the hand or digits, such as absent pulses, poor capillary refill, cool/pale fingers, or uncontrolled bleeding?"", ""rationale"": ""The model asked directly about associated carpal dislocation/perilunate instability, open injury, soft tissue compromise, neurologic deficit, and vascular compromise, which collectively cover the withheld detail.""}]",ok,1,resp_0573876d5edde6dd006a1d98315528819eb524e736f98e7884,699,402,1101,2026-06-01T14:33:20.790885+00:00,2026-06-01T14:33:28.170122+00:00,,
category_changing_6,category_changing,category_changing_6,6,unstable reduction as a subtle difference,2,1,0,0.0,False,The model did not ask about the key missing stability information needed to determine whether the reduced PIP dislocation can be safely managed with outpatient follow-up.,"[{""detail"": ""The PIP joint remains concentrically reduced through gentle range of motion and is stable in an extension-block splint at 30 degrees of flexion."", ""covered"": false, ""covering_question"": """", ""rationale"": ""The model asked about open injury, vascular status, and tendon/nerve deficits, but did not ask whether the PIP joint remains concentrically reduced during gentle range of motion or whether it can be maintained in an extension-block splint.""}]",ok,1,resp_0ab7cac99e9747bd006a1d97ff0914819f93445027fa5be0af,648,370,1018,2026-06-01T14:32:30.840182+00:00,2026-06-01T14:32:37.374954+00:00,,
category_changing_7,category_changing,category_changing_7,7,unclear joint involvement,2,1,1,1.0,True,The model appropriately identified the key missing information: whether the MCP-area laceration involved the joint capsule or extensor mechanism. Its questions would reasonably elicit the withheld detail needed for triage.,"[{""detail"": ""The wound is explored through range of motion, including the injury position, and remains superficial to the extensor mechanism with no MCP joint capsule violation, no synovial fluid, no exposed cartilage, and no communication with the joint."", ""covered"": true, ""covering_question"": ""Was the laceration explored through the full range of MCP motion, and is there any evidence that the MCP joint capsule was violated or that the wound communicates with the joint?"", ""rationale"": ""This question directly asks about exploration through MCP range of motion and whether the joint capsule was violated or the wound communicates with the joint. The model also separately asks about extensor tendon injury, which helps cover the extensor mechanism component. Although it does not explicitly mention synovial fluid or exposed cartilage, these would reasonably fall under evidence of joint violation or communication.""}]",ok,1,resp_0e1188eaf838843c006a1d984e9b2881a1bf5b39c924e1a1ea,638,481,1119,2026-06-01T14:33:50.474012+00:00,2026-06-01T14:33:59.240360+00:00,,
category_changing_8,category_changing,category_changing_8,8,Hand infection,3,1,1,1.0,True,"The model appropriately asked about deep palmar/thenar space infection signs, including thenar/midpalmar involvement and pain with thumb opposition or finger movement. It missed explicit inflammatory marker questioning, but covered the clinically central withheld information.","[{""detail"": ""There is diffuse erythema over the thenar eminence and central palm, with pain on active thumb opposition and finger flexion; CRP is mildly elevated."", ""covered"": true, ""covering_question"": ""Are there exam findings concerning for a deep palmar/thenar space infection, such as severe deep palm pain, tense thenar or mid-palmar swelling, fluctuance/abscess, pain with thumb motion or opposition, loss of normal palmar concavity, or inability to actively move the thumb/fingers due to pain?"", ""rationale"": ""This directly asks about thenar/midpalmar deep-space involvement and pain with thumb opposition or finger motion, which would elicit the key exam findings. It does not explicitly ask about CRP, but it covers the main deep-space infection features in the withheld detail.""}]",ok,1,resp_0cbc3b4458a22fc7006a1d9805ab7081a19e1f18a75a434ba9,795,807,1602,2026-06-01T14:32:37.577388+00:00,2026-06-01T14:32:52.509076+00:00,,
category_changing_9,category_changing,category_changing_9,9,Distal Phalanx fracture,2,1,0,0.0,True,"The model appropriately sought most of the key missing triage information, including vascular status and severe fingertip soft-tissue compromise, but omitted a clarifying question about bleeding control.","[{""detail"": ""The fingertip is pink, warm, and well perfused with brisk capillary refill less than 2 seconds, no gross protrusion of bone beyond the soft-tissue envelope after irrigation, bleeding controlled, and no near-amputation or extensive soft-tissue loss beyond an open tuft/nailbed injury."", ""covered"": false, ""covering_question"": """", ""rationale"": ""The model asked about perfusion/ischemia and about near-amputation, exposed bone, and extensive soft tissue loss, but it did not ask whether bleeding was controlled. Thus the composite withheld detail was not fully covered by the clarifying questions.""}]",ok,1,resp_0336475edc5a3f62006a1d97e52150819082a3102261c1188a,632,752,1384,2026-06-01T14:32:05.022582+00:00,2026-06-01T14:32:20.714714+00:00,,
category_changing_10,category_changing,category_changing_10,10,Volar ring finger laceration,2,1,1,1.0,True,"The model appropriately asked about flexor tendon function, especially independent DIP/PIP flexion against resistance, which would identify the clinically important diminished painful DIP flexion. MCP flexion was not explicitly queried, but the key withheld triage-relevant information was covered.","[{""detail"": ""He can actively flex the MCP, PIP, and DIP joints, but DIP flexion strength is diminished compared with the contralateral side and painful against resistance."", ""covered"": true, ""covering_question"": ""After hemostasis and/or digital block, can the patient actively flex the DIP and PIP joints of the left ring finger independently against resistance, consistent with intact FDP and FDS tendons?"", ""rationale"": ""This asks about independent DIP and PIP flexion against resistance, which would reasonably elicit diminished and painful DIP flexion suggesting partial FDP injury. It does not explicitly ask about MCP flexion, but it covers the key flexor tendon function information needed for triage.""}]",ok,1,resp_0fee6479055649e3006a1d983e3f3c8192b4735a5f94e241a0,685,785,1470,2026-06-01T14:33:34.158368+00:00,2026-06-01T14:33:50.269348+00:00,,
